	Data	List of sets
19599	труба вгп	{'10.08', '10.02', '10.01'}
19600	труба вгп оцинкованная	{'10.01'}
19601	труба вгп оцинкованная	{'10.01'}
19602	труба вгп оцинкованная	{'10.01'}
19603	труба вгп оцинкованная	{'10.01'}
19604	труба вентиляционная лиаз man dloh	{'10.01'}
19605	труба выпускная лиаз ман_	{'10.01'}
19606	труба выпускная лиаз	{'10.02', '10.01'}
19607	труба выхлопная	{'10.02', '10.01', '10.05'}
19608	труба выхлопная вебасто	{'10.02', '10.01'}
19609	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19610	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19611	труба газ гост	{'10.01'}
19612	труба газ гост	{'10.01'}
19613	труба газ гост	{'10.01'}
19614	труба газ гост	{'10.01'}
19615	труба газ гост	{'10.01'}
19616	труба газ гост	{'10.01'}
19617	труба газовая	{'10.01'}
19618	труба газовая	{'10.01'}
19619	труба газовая	{'10.01'}
19620	труба гиб облег протяжк	{'10.01'}
19621	труба гибкая протяжкой	{'10.01'}
19622	труба глушителя скания	{'10.01'}
19623	труба гофр dмм	{'10.01'}
19624	труба гофр пвх зондом упак легкая	{'10.01'}
19625	труба гофр	{'10.08', '10.02', '10.06', '10.01'}
19626	труба гофр пвх зондом легкая	{'10.01'}
19627	труба гофр полиамидная	{'10.01'}
19628	труба гофр dмм	{'10.01'}
19629	труба гофр пвх зондом упак легкая	{'10.01'}
19630	труба гофрир	{'10.08', '10.06', '10.01'}
19631	труба гофриров легк типа зондом	{'10.01'}
19632	труба гофрированная	{'10.08', '10.06', '10.01'}
19633	труба гофрированная пвх зондом	{'10.01'}
19634	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19635	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19636	труба канализационная однораструбная	{'10.01'}
19637	труба канализационная однораструбная	{'10.01'}
19638	труба легк зондом	{'10.01'}
19639	труба пластик	{'10.01'}
19640	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19641	труба пластик	{'10.01'}
19642	труба медь	{'10.01'}
19643	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19644	труба бел нап pnt бухта	{'10.01'}
19645	труба направляющая лиаз man dloh	{'10.01'}
19646	труба неарм хвс	{'10.01'}
19647	труба опорная лиаз man dloh	{'10.01'}
19648	труба опорная лиаз man dloh	{'10.01'}
19649	труба оцинк	{'10.01'}
19650	труба оцинк	{'10.01'}
19651	труба оцинк	{'10.01'}
19652	труба пвх жесткая гладкая	{'10.01'}
19653	труба пвх	{'10.08', '10.06', '10.01'}
19654	труба пвх гофр протяжкой	{'10.06', '10.01'}
19655	труба пвх гофр зонд dмм	{'10.01'}
19656	труба пластик	{'10.01'}
19657	труба пнд легк протяж	{'10.01'}
19658	труба пнд гибк гофр протяжк	{'10.01'}
19659	труба пнд гибк гофр протяжк	{'10.01'}
19660	труба пнд гладкая	{'10.01'}
19661	труба пнд гофр dмм тяж протяж	{'10.01'}
19662	труба пнд гофрированная	{'10.01'}
19663	труба полипропиленовая напорная	{'10.01'}
19664	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19665	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19666	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19667	труба приемная глушителя камаз	{'10.01'}
19668	труба проф	{'10.08', '10.02', '10.01'}
19669	труба проф	{'10.08', '10.02', '10.01'}
19670	труба проф	{'10.08', '10.02', '10.01'}
19671	труба проф	{'10.08', '10.02', '10.01'}
19672	труба проф	{'10.08', '10.02', '10.01'}
19673	труба профильная	{'10.02', '10.01'}
19674	труба профильная	{'10.02', '10.01'}
19675	труба профильная	{'10.02', '10.01'}
19676	труба профильная	{'10.02', '10.01'}
19677	труба профильная	{'10.02', '10.01'}
19678	труба профильная	{'10.02', '10.01'}
19679	труба профильная	{'10.02', '10.01'}
19680	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19681	труба серая	{'10.08', '10.01'}
19682	труба термоизоляцией лиаз	{'10.01'}
19683	труба термоизоляцией лиаз	{'10.01'}
19684	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19685	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19686	труба стальная	{'10.08', '10.02', '10.01'}
19687	труба турбокомпрессора верх фиат дукато	{'10.01'}
19688	труба турбокомпрессора низ фиат дукато	{'10.01'}
19689	труба фановая wirquin lмм	{'10.01'}
19690	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19691	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19692	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
19693	труба свар прямошов гост	{'10.01'}
19694	труба свар прямошов гост	{'10.01'}
19695	труба сварн гост	{'10.01'}
19696	труба сварн гост	{'10.01'}
19697	труба сварн гост	{'10.01'}
19698	труба сварн гост	{'10.01'}
19699	труба прямошов гост	{'10.01'}
19700	труба эсв	{'10.08', '10.01'}
19701	трубка	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
19702	трубка топл	{'10.02', '10.01', '10.05'}
19703	трубка змеевик лиаз	{'10.01'}
19704	трубка	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
19705	трубка белая	{'10.01'}
19706	трубка сборе	{'10.02', '10.01'}
19707	трубка водяная	{'10.02', '10.01'}
19708	трубка водяная	{'10.02', '10.01'}
19709	трубка водяная	{'10.02', '10.01'}
19710	трубка водяная	{'10.02', '10.01'}
19711	трубка водяная	{'10.02', '10.01'}
19712	трубка гидравлическая насоса гбц лиаз	{'10.01'}
19713	трубка гидропривода выжимного фиат дукато	{'10.01'}
19714	трубка гур скания	{'10.01'}
19715	трубка гур скания	{'10.01'}
19716	трубка кпп фиат дукато	{'10.02', '10.01'}
19717	трубка лиаз	{'10.01', '10.05'}
19718	трубка лиаз	{'10.01', '10.05'}
19719	трубка масляная	{'10.01'}
19720	трубка медная	{'10.02', '10.01'}
19721	трубка медная	{'10.02', '10.01'}
19722	трубка медная	{'10.02', '10.01'}
19723	трубка медная	{'10.02', '10.01'}
19724	трубка медная	{'10.02', '10.01'}
19725	трубка медная	{'10.02', '10.01'}
19726	трубка медная	{'10.02', '10.01'}
19727	трубка насоса гур скания	{'10.01'}
19728	трубка обратка топливная форсунок голая лиаз	{'10.01'}
19729	трубка омывателя лиаз	{'10.02', '10.01'}
19730	трубка отвода масла турбины маз волжанин	{'10.02', '10.01'}
19731	трубка отвода масла турбокомпрессора лиаз man dloh	{'10.01'}
19732	трубка отвода масла турбокомпрессора лиаз man dloh	{'10.01'}
19733	трубка пвх	{'10.06', '10.01'}
19734	трубка подвода масла датчику лиаз	{'10.01'}
19735	трубка полиамидная лиаз паз	{'10.02', '10.01'}
19736	трубка полиамидная лиаз паз	{'10.02', '10.01'}
19737	трубка полиамидная	{'10.02', '10.01', '10.05'}
19738	трубка полиамидная	{'10.02', '10.01', '10.05'}
19739	трубка полиамидная	{'10.02', '10.01', '10.05'}
19740	трубка полипропиленовая напорная	{'10.01'}
19741	трубка системы охлаждения фиат дукато упл кольцом	{'10.01'}
19742	трубка системы охлаждения фиат дукато упл кольцом	{'10.01'}
19743	трубка теплоизоляционная	{'10.01'}
19744	трубка теплоизоляционная	{'10.01'}
19745	трубка теплоизоляционная	{'10.01'}
19746	трубка термоусадочная pbf	{'10.02', '10.01'}
19747	трубка термоусадочная pbf	{'10.02', '10.01'}
19748	трубка термоусадочная pbf	{'10.02', '10.01'}
19749	трубка термоусадочная pbf	{'10.02', '10.01'}
19750	трубка термоусадочная pbf	{'10.02', '10.01'}
19751	трубка термоусадочная pbf	{'10.02', '10.01'}
19752	трубка термоусадочная pbf	{'10.02', '10.01'}
19753	трубка термоусадочная pbf	{'10.02', '10.01'}
19754	трубка тнвд насос форсунки общая маз волжанин	{'10.01'}
19755	трубка топл сирокко	{'10.01'}
19756	трубка топливн насоса webasto	{'10.01'}
19757	трубка топливная насос фильтр лиаз ман	{'10.01'}
19758	трубка топливная насос фильтр лиаз man dloh	{'10.01'}
19759	трубка топливная фильтр насос лиаз man dloh	{'10.01'}
19760	трубка топливная высокого давления тройником фиат дукато	{'10.01'}
19761	трубка топливная лиаз	{'10.01'}
19762	трубка топливная обратки лиаз man dloh	{'10.01'}
19763	трубка топливного насоса	{'10.01'}
19764	трубка тормозная змеевик лиаз	{'10.01'}
19765	трубка тормозная змеевик лиаз	{'10.01'}
19766	трубка тосольного шланга лиаз	{'10.01'}
19767	трубка тсэфмм	{'10.01'}
19768	трубка термоусаж	{'10.01', '10.05'}
19769	трубка цил сцеп глав гибк fiat	{'10.01'}
19770	трубка цилиндра сцепления главного гибкая кпп фиат дукато	{'10.01'}
19771	трубка цилиндра сцепления главного гибкая кпп фиат дукато	{'10.01'}
19772	трубка щупа направляющая лиаз man dloh	{'10.01'}
19773	трубки топливные высокого давления цил лиаз	{'10.01', '10.05'}
19774	трубки топливные высокого давления цил лиаз	{'10.01', '10.05'}
19775	трубки топливные высокого давления цил лиаз man dloh	{'10.01', '10.05'}
19776	трубки топливные высокого давления цил лиаз man dloh	{'10.01', '10.05'}
19777	трубки топливные высокого давления цил лиаз	{'10.01', '10.05'}
19778	трубки топливные высокого давления цил лиаз man	{'10.01', '10.05'}
19779	трубки топливные высокого давления цил лиаз man dloh	{'10.01', '10.05'}
19780	трубки топливные высокого давления цил лиаз man dloh	{'10.01', '10.05'}
19781	трубки топливные высокого давления комплект лиаз	{'10.01'}
19782	трубки топливные лиаз ман	{'10.01'}
19783	трубки тормоз задн зил бычок	{'10.01'}
19784	трубопровод алюминиевый системы кондиционирования лиаз	{'10.02', '10.01'}
19785	трубопровод алюминиевый радиатор кондиционерa ресивер лиаз	{'10.01'}
19786	трубопровод алюминиевый системы кондиционирования лиаз	{'10.02', '10.01'}
19787	трубопровод алюминиевый системы кондиционирования лиаз	{'10.02', '10.01'}
19788	трубопровод алюминиевый системы кондиционирования лиаз	{'10.02', '10.01'}
19789	трубопровод алюминиевый системы кондиционирования лиаз	{'10.02', '10.01'}
19790	трубопровод алюминиевый системы кондиционирования лиаз	{'10.02', '10.01'}
19791	трубопровод алюминиевый системы кондиционирования лиаз	{'10.02', '10.01'}
19792	трубопровод алюминиевый системы кондиционирования лиаз	{'10.02', '10.01'}
19793	трубопровод алюминиевый системы кондиционирования лиаз	{'10.02', '10.01'}
19794	трубопровод алюминиевый системы кондиционирования лиаз	{'10.02', '10.01'}
19795	трубопровод выпускной коллектора турбокомпрессора голаз скания	{'10.01'}
19796	трубопровод кпп fiat	{'10.01'}
19797	труборез стали	{'10.09', '10.01'}
19798	трубы	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
19799	трубы	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
19800	трубы конвективной части котла дквр	{'10.01'}
19801	трубы проф	{'10.08', '10.01'}
19802	трубы профильные	{'10.08', '10.01'}
19803	трубы профильные	{'10.08', '10.01'}
19804	трубы электросвар	{'10.08', '10.01'}
19805	трубы электросвар	{'10.08', '10.01'}
19806	трубы электросвар	{'10.08', '10.01'}
19807	трубы электросварные	{'10.01'}
19808	трудовая книжка	{'10.06', '10.01'}
19809	трудовая книжка	{'10.06', '10.01'}
19810	трудовая книжка	{'10.06', '10.01'}
19811	трудовая книжка	{'10.06', '10.01'}
19812	трудовая книжка	{'10.06', '10.01'}
19813	тряпка пола	{'10.09', '10.06', '10.01'}
19814	тряпка рулоне unicum	{'10.09', '10.06', '10.01'}
19815	тряпка пола	{'10.09', '10.06', '10.01'}
19816	тряпка пола	{'10.09', '10.06', '10.01'}
19817	тряпка пола	{'10.09', '10.06', '10.01'}
19818	тряпка пола микрофибра	{'10.09', '10.06', '10.01'}
19819	тряпка стекол	{'10.01'}
19820	тряпка пола	{'10.09', '10.06', '10.01'}
19821	тряпка пола	{'10.09', '10.06', '10.01'}
19822	тряпка пола	{'10.09', '10.06', '10.01'}
19823	тряпка супер	{'10.01'}
19824	тряпка	{'10.09', '10.06', '10.01'}
19825	ттэ трубка термоусаживаемая электроизоляционная термостабилизированная	{'10.01', '10.05'}
19826	ттэ трубка термоусаживаемая электроизоляционная термостабилизированная	{'10.01', '10.05'}
19827	ттэ трубка термоусаживаемая электроизоляционная термостабилизированная	{'10.01', '10.05'}
19828	ттэ трубка термоусаживаемая электроизоляционная термостабилизированная	{'10.01', '10.05'}
19829	ттэ трубка термоусаживаемая электроизоляционная термостабилизированная	{'10.01', '10.05'}
19830	ттэ трубка термоусаживаемая электроизоляционная термостабилизированная	{'10.01', '10.05'}
19831	ттэ трубка термоусаживаемая электроизоляционная термостабилизированная	{'10.01', '10.05'}
19832	ттэ трубка термоусаживаемая электроизоляционная термостабилизированная	{'10.01', '10.05'}
19833	ттэ трубка термоусаживаемая электроизоляционная термостабилизированная	{'10.01', '10.05'}
19834	ттэ трубка термоусаживаемая электроизоляционная	{'10.01', '10.05'}
19835	ттэ трубка термоусаживаемая электроизоляционная	{'10.01', '10.05'}
19836	ттэ трубка термоусаживаемая электроизоляционная	{'10.01', '10.05'}
19837	ттэ трубка термоусаживаемая электроизоляционная	{'10.01', '10.05'}
19838	ттэ трубка термоусаживаемая электроизоляционная	{'10.01', '10.05'}
19839	ттэ трубка термоусаживаемая электроизоляционная	{'10.01', '10.05'}
19840	ттэ трубка термоусаживаемая электроизоляционная	{'10.01', '10.05'}
19841	ттэ трубка термоусаживаемая электроизоляционная	{'10.01', '10.05'}
19842	ттэ трубка термоусаживаемая электроизоляционная	{'10.01', '10.05'}
19843	ттэ трубка термоусаживаемая электроизоляционная	{'10.01', '10.05'}
19844	туал бумага зева плюс	{'10.01'}
19845	туалет бумага рул упак	{'10.01'}
19846	туалетна бумага	{'10.01'}
19847	туалетная бумага	{'10.09', '10.06', '10.01'}
19848	туба kyocera	{'10.01'}
19849	туба чистящими салфетками	{'10.01'}
19850	тумба оргтехники	{'10.09', '10.10', '10.01'}
19851	тумба фибробетонная навигац пилона	{'10.01'}
19852	тумба шлагбаума	{'10.01'}
19853	тумблер внут перекл печ fiat	{'10.01'}
19854	тумблер внутренний переключателя печки фиат дукато	{'10.01', '10.05'}
19855	тумблер внутренний переключателя печки фиат дукато_	{'10.01'}
19856	турбокомпрессор	{'10.02', '10.01', '10.05'}
19857	турбокомпрессор волжанин	{'10.01'}
19858	турбокомпрессор волжанин	{'10.01'}
19859	турбокомпрессор волжанин	{'10.01'}
19860	турбокомпрессор волжанин scania	{'10.01'}
19861	турбокомпрессор гарретт	{'10.01'}
19862	турбокомпрессор голаз scania	{'10.01'}
19863	турбокомпрессор лиаз	{'10.02', '10.01'}
19864	турбокомпрессор лиаз man dloh	{'10.01'}
19865	турбокомпрессор лиаз man dloh	{'10.01'}
19866	турбокомпрессор лиаз man dloh	{'10.01'}
19867	турбокомпрессор лиаз man dloh	{'10.01'}
19868	турбокомпрессор лиаз man dloh	{'10.01'}
19869	турбокомпрессор лиаз man dloh	{'10.01'}
19870	турбокомпрессор лиаз man dloh	{'10.01'}
19871	турбокомпрессор лиаз	{'10.02', '10.01'}
19872	турбокомпрессор лиаз	{'10.02', '10.01'}
19873	турбокомпрессор лиаз man dloh	{'10.01'}
19874	турбокомпрессор маз	{'10.01'}
19875	турбокомпрессор маз	{'10.01'}
19876	турбокомпрессор маз	{'10.01'}
19877	турбокомпрессор маз	{'10.01'}
19878	турбокомпрессор маз волжанин	{'10.01'}
19879	турбонагнетатель выхл газов	{'10.01'}
19880	турбонагнетатель выхл газов	{'10.01'}
19881	турбонагнетатель выхл газов	{'10.01'}
19882	турбонагнетатель выхл газов	{'10.01'}
19883	турбонагнетатель выхл газов	{'10.01'}
19884	турбонаддув	{'10.02', '10.01'}
19885	туя	{'10.09', '10.01'}
19886	тэн	{'10.02', '10.01'}
19887	тэн	{'10.02', '10.01'}
19888	тэн	{'10.02', '10.01'}
19889	тэн	{'10.02', '10.01'}
19890	тэн образ	{'10.02', '10.01'}
19891	тэн нагреватель	{'10.01'}
19892	тэн	{'10.02', '10.01'}
19893	тэн	{'10.02', '10.01'}
19894	тэн	{'10.02', '10.01'}
19895	тэн	{'10.02', '10.01'}
19896	тэн штуц	{'10.01'}
19897	тяга	{'10.08', '10.02', '10.01', '10.05'}
19898	тяга	{'10.08', '10.02', '10.01', '10.05'}
19899	тяга голаз скания	{'10.01', '10.05'}
19900	тяга голаз скания	{'10.01', '10.05'}
19901	тяга штанга лиаз	{'10.02', '10.01'}
19902	тяга штанга лиаз	{'10.02', '10.01'}
19903	тяга штанга лиаз	{'10.02', '10.01'}
19904	тяга шток	{'10.01'}
19905	тяга волжанин скания	{'10.02', '10.01'}
19906	тяга крана уровня пола лиаз	{'10.02', '10.01'}
19907	тяга крана уровня пола лиаз	{'10.02', '10.01'}
19908	тяга крана уровняя пола наконечником	{'10.01', '10.05'}
19909	тяга маз	{'10.01'}
19910	тяга педали	{'10.01'}
19911	тяга лев двери fiat	{'10.01'}
19912	тяга прав двери fiat	{'10.01'}
19913	тяга прицепа икарус	{'10.01'}
19914	тяга путевая	{'10.01'}
19915	тяга путевая	{'10.01'}
19916	тяга путевая	{'10.01'}
19917	тяга путевая компл шайбами гайкой	{'10.01'}
19918	тяга реактивная голаз	{'10.02', '10.01'}
19919	тяга реактивная лиаз заднего моста нижняя	{'10.02', '10.01'}
19920	тяга реактивная лиаз	{'10.02', '10.01'}
19921	тяга реактивная маз	{'10.02', '10.01'}
19922	тяга реактивная маз сборе образная	{'10.01'}
19923	тяга реактивная маз сборе образная	{'10.01'}
19924	тяга реактивная маз образная сборе	{'10.02', '10.01'}
19925	тяга реактивная маз образная сборе	{'10.02', '10.01'}
19926	тяга реактивная паз нижняя задняя	{'10.01'}
19927	тяга реактивная переднего моста лиаз мост	{'10.02', '10.01'}
19928	тяга реактивная сания волжанин	{'10.01'}
19929	тяга реактивная сания волжанин	{'10.01'}
19930	тяга реактивная сания волжанин образная	{'10.01'}
19931	тяга реактивная сания волжанин_	{'10.01'}
19932	тяга реактивная скания	{'10.02', '10.01'}
19933	тяга рективная заднего моста лиаз волжанин мост	{'10.02', '10.01'}
19934	тяга рул прод маз	{'10.01'}
19935	тяга рул прод	{'10.01', '10.05'}
19936	тяга рулевая	{'10.02', '10.01', '10.05'}
19937	тяга рулевая fiat	{'10.01'}
19938	тяга рулевая fiat	{'10.01'}
19939	тяга рулевая вмз	{'10.01'}
19940	тяга рулевая поперечная	{'10.02', '10.01', '10.05'}
19941	тяга рулевая поперечная	{'10.02', '10.01', '10.05'}
19942	тяга рулевая поперечная волжанин	{'10.02', '10.01'}
19943	тяга рулевая поперечная волжанин	{'10.02', '10.01'}
19944	тяга рулевая поперечная волжанин мост скания	{'10.01'}
19945	тяга рулевая поперечная лиаз	{'10.02', '10.01', '10.05'}
19946	тяга рулевая поперечная лиаз	{'10.02', '10.01', '10.05'}
19947	тяга рулевая поперечная лиаз мостzf	{'10.01'}
19948	тяга рулевая поперечная лиаз	{'10.02', '10.01', '10.05'}
19949	тяга рулевая поперечная лиаз мост	{'10.02', '10.01'}
19950	тяга рулевая поперечная маз	{'10.01'}
19951	тяга рулевая поперечная скания	{'10.02', '10.01', '10.05'}
19952	тяга рулевая поперечная скания	{'10.02', '10.01', '10.05'}
19953	тяга рулевая поперечная скания	{'10.02', '10.01', '10.05'}
19954	тяга рулевая продольная	{'10.02', '10.01', '10.05'}
19955	тяга рулевая продольная сошки лиаз	{'10.01'}
19956	тяга рулевая продольная сошки лиаз мост raba сборе	{'10.01'}
19957	тяга рулевая продольная скания	{'10.02', '10.01', '10.05'}
19958	тяга рулевая продольная волжанин мост	{'10.02', '10.01'}
19959	тяга рулевая продольная волжанин мост	{'10.02', '10.01'}
19960	тяга рулевая продольная волжанин скания	{'10.01', '10.05'}
19961	тяга рулевая продольная лиаз	{'10.02', '10.01', '10.05'}
19962	тяга рулевая продольная маз	{'10.01'}
19963	тяга рулевая продольная скания	{'10.02', '10.01', '10.05'}
19964	тяга рулевая продольная скания	{'10.02', '10.01', '10.05'}
19965	тяга рулевая продольная скания	{'10.02', '10.01', '10.05'}
19966	тяга рулевая продольная скания	{'10.02', '10.01', '10.05'}
19967	тяга рулевая фиат дукато	{'10.01'}
19968	тяга рулевая фиат дукато	{'10.01'}
19969	тяга автозамык встречных стрелок	{'10.01'}
19970	тяга автозамык сходн стрелок	{'10.01'}
19971	тяга автозамыкат встр стрелок	{'10.01'}
19972	тяга автозамыкателем встречных стрелок	{'10.01'}
19973	тяга автозамыкателем встречных стрелок типа	{'10.01'}
19974	тяга автозамыкателем сходных стрелок	{'10.01'}
19975	тяга автозамыкателем сходных стрелок типа	{'10.01'}
19976	тяга стабилизатора переднего моста голаз	{'10.01'}
19977	тяга стабилизатора скания	{'10.01', '10.05'}
19978	тяга стабилизатора скания передняя	{'10.01'}
19979	тяга стабилизатора скания_	{'10.01'}
19980	тяги	{'10.02', '10.01', '10.05'}
19981	уай спирит	{'10.01'}
19982	уайт спирит	{'10.08', '10.06', '10.01'}
19983	уайт спирит	{'10.08', '10.06', '10.01'}
19984	уайт спирит	{'10.08', '10.06', '10.01'}
19985	уайт спирит	{'10.08', '10.06', '10.01'}
19986	уайт спирит	{'10.08', '10.06', '10.01'}
19987	уайт спирит	{'10.08', '10.06', '10.01'}
19988	уайт спирит	{'10.08', '10.06', '10.01'}
19989	уайт спирит	{'10.08', '10.06', '10.01'}
19990	уайт спирит	{'10.08', '10.06', '10.01'}
19991	уайт спирит	{'10.08', '10.06', '10.01'}
19992	углекислота	{'10.06', '10.01'}
19993	углекислота	{'10.06', '10.01'}
19994	углекислота газ сжиженный баллонах	{'10.01'}
19995	угловой редуктор маз	{'10.01'}
19996	угловой соедин штуцер	{'10.02', '10.01'}
19997	угловой соедин штуцер	{'10.02', '10.01'}
19998	угловой соедин штуцер	{'10.02', '10.01'}
19999	угол равнополочный	{'10.08', '10.01'}
20000	угол бесцветный	{'10.01'}
20001	угол внешний	{'10.08', '10.01'}
20002	угол внешний ркк белый рувинил	{'10.01'}
20003	угол внутренний орех	{'10.08', '10.01'}
20004	угол внутренний ркк белый рувинир	{'10.01'}
20005	угол трубы	{'10.01'}
20006	угол наружный велес	{'10.01'}
20007	угол наружный орех	{'10.08', '10.01'}
20008	уголки	{'10.08', '10.01'}
20009	уголок dmx	{'10.01'}
20010	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20011	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20012	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20013	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20014	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20015	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20016	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20017	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20018	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20019	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20020	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20021	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20022	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20023	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20024	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20025	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20026	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20027	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20028	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20029	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20030	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20031	уголок равнополочный	{'10.01'}
20032	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20033	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20034	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20035	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20036	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20037	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20038	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20039	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20040	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20041	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20042	уголокх hfp	{'10.01'}
20043	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20044	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20045	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20046	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20047	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20048	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20049	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20050	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20051	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20052	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20053	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20054	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20055	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20056	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20057	уголок алюм адт	{'10.01'}
20058	уголок алюм адт	{'10.01'}
20059	уголок алюм адт	{'10.01'}
20060	уголок бампера задн лев fiat	{'10.01'}
20061	уголок бампера заднего катафотом правый фиат дукато	{'10.01'}
20062	уголок бампера лиаз задний правый	{'10.01'}
20063	уголок бампера лиаз задний левый	{'10.01'}
20064	уголок бампера фиат дукато заднего катафотом левый	{'10.01'}
20065	уголок	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08', '10.07'}
20066	уголок изолирующий	{'10.01'}
20067	уголок металлический	{'10.08', '10.07', '10.01'}
20068	уголок монт усилен	{'10.08', '10.06', '10.01'}
20069	уголок монт усилен	{'10.08', '10.06', '10.01'}
20070	уголок отделочный пластиковый	{'10.06', '10.01'}
20071	уголок aст белый стальной кнауф	{'10.01'}
20072	уголок соедин сантех мет труб	{'10.01'}
