	Data	List of sets
122	клемный блок	{'10.06', '10.01'}
123	блок розетки	{'10.01'}
124	емкость буферная	{'10.01'}
125	батарейка матер плата	{'10.01'}
126	блок пенобетонный	{'10.01'}
127	вороток	{'10.09', '10.12', '10.01'}
128	вал распределительный	{'10.02', '10.01', '10.05'}
129	валик угловой	{'10.01'}
130	валик	{'10.01', '10.05', '10.09', '10.06', '10.08'}
131	валик сменный	{'10.09', '10.01'}
132	валик ручкой	{'10.09', '10.01'}
133	выключатель	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
134	выключатель клав	{'10.08', '10.02', '10.01', '10.05'}
135	выключатель авт полюсн	{'10.01'}
136	авт выключатель	{'10.08', '10.01'}
137	вилка прямая	{'10.08', '10.06', '10.01'}
138	вайпер держателем	{'10.01'}
139	ветошь	{'10.09', '10.08', '10.06', '10.01'}
140	ветошь фланель	{'10.01'}
141	горелка	{'10.09', '10.12', '10.02', '10.01'}
142	горелка	{'10.09', '10.12', '10.02', '10.01'}
143	горелка пропановая	{'10.01'}
144	горелка	{'10.09', '10.12', '10.02', '10.01'}
145	гофра электропроводки	{'10.01'}
146	грунтовка	{'10.08', '10.02', '10.06', '10.01'}
147	грунтовка body	{'10.01'}
148	гвоздодер металл	{'10.01'}
149	грунт мешках	{'10.01'}
150	грибок ремонта шин	{'10.01'}
151	гвозди	{'10.09', '10.08', '10.06', '10.01'}
152	гвозди	{'10.09', '10.08', '10.06', '10.01'}
153	гвозди	{'10.09', '10.08', '10.06', '10.01'}
154	грузы липучки	{'10.01'}
155	гидростеклоизол тпп	{'10.01'}
156	герметик прокладок	{'10.06', '10.01', '10.05'}
157	герметик радиатора	{'10.01'}
158	гирлянда led дюралайт канал	{'10.01'}
159	гипсокартон	{'10.01', '10.09', '10.02', '10.06', '10.08'}
160	грамота почетная	{'10.01'}
161	долото	{'10.09', '10.12', '10.01'}
162	диск зачистной лепестковый	{'10.01'}
163	жесткий диск	{'10.01', '10.05', '10.09', '10.02', '10.06'}
164	диск асфальту шовнарезчика	{'10.01'}
165	диск алмазный	{'10.09', '10.12', '10.08', '10.01'}
166	диск пильный	{'10.09', '10.12', '10.01'}
167	диск твердосплавный	{'10.01'}
168	дверь металлическая наружная	{'10.01'}
169	дверь комплекте деревянная	{'10.01'}
170	дермантин	{'10.01'}
171	двп мягкая	{'10.01'}
172	дсп	{'10.01', '10.09', '10.06', '10.12', '10.08'}
173	доска обрезная	{'10.08', '10.01'}
174	домкрат гидравл	{'10.09', '10.06', '10.01', '10.05'}
175	домкрат	{'10.01', '10.05', '10.09', '10.06', '10.12'}
176	домкрат	{'10.01', '10.05', '10.09', '10.06', '10.12'}
177	электродержатель	{'10.09', '10.01'}
178	датчик энкодера	{'10.01'}
179	держатель банки слива датчиком	{'10.01'}
180	дроссель встраиваемый	{'10.01'}
181	дпг дверное полотно орех	{'10.01'}
182	доводчик	{'10.09', '10.08', '10.06', '10.01'}
183	золото	{'10.01', '10.09', '10.06', '10.12', '10.08'}
184	серебро	{'10.01', '10.09', '10.06', '10.08', '10.07'}
185	фильтр воздушный	{'10.02', '10.06', '10.01', '10.05'}
186	тормозная жидкость	{'10.03', '10.01'}
187	тормозная жидкость	{'10.03', '10.01'}
188	жгуты ремонта колес	{'10.01'}
189	стеклоомывающая жидкость незамерзайка	{'10.01'}
190	незамерзающая жидкость обзор	{'10.01'}
191	жидкость гур	{'10.03', '10.01', '10.05'}
192	промывочная жидкость colibri	{'10.01'}
193	быстрый запуск двигателей	{'10.01'}
194	жидкость автоматических трансмиссий	{'10.01'}
195	журнал	{'10.09', '10.06', '10.01'}
196	задвижка дверная	{'10.08', '10.01'}
197	замок врезной	{'10.09', '10.08', '10.06', '10.01'}
198	замок врезной	{'10.09', '10.08', '10.06', '10.01'}
199	замок врезной	{'10.09', '10.08', '10.06', '10.01'}
200	замок врезной хром	{'10.01'}
201	замок навесной	{'10.09', '10.06', '10.01'}
202	замок навесной	{'10.09', '10.06', '10.01'}
203	замок навесной	{'10.09', '10.06', '10.01'}
204	замок навесной	{'10.09', '10.06', '10.01'}
205	замок навесной гаражный	{'10.01'}
206	замок врезной цилиндровый	{'10.01'}
207	замок стекла	{'10.02', '10.01'}
208	знак аварийной остановки	{'10.09', '10.06', '10.01', '10.05'}
209	знак дорож	{'10.09', '10.06', '10.01'}
210	знак дорож	{'10.09', '10.06', '10.01'}
211	зубило	{'10.09', '10.12', '10.06', '10.01'}
212	зубило слесарное	{'10.01'}
213	защелка дверная	{'10.01'}
214	заклепка	{'10.01', '10.05', '10.02', '10.06', '10.08'}
215	заклепка	{'10.01', '10.05', '10.02', '10.06', '10.08'}
216	запасная часть mea unit pickup dell	{'10.01'}
217	заплата ремонта шин	{'10.01'}
218	зарядное устройство	{'10.09', '10.02', '10.06', '10.01'}
219	заклепка	{'10.01', '10.05', '10.02', '10.06', '10.08'}
220	заклепка	{'10.01', '10.05', '10.02', '10.06', '10.08'}
221	заклепка	{'10.01', '10.05', '10.02', '10.06', '10.08'}
222	заглушка пластмас	{'10.01'}
223	завершающая полоса	{'10.01'}
224	заклепка увелич	{'10.01'}
225	заклепка	{'10.01', '10.05', '10.02', '10.06', '10.08'}
226	заклепка тяговая	{'10.01'}
227	заклепка	{'10.01', '10.05', '10.02', '10.06', '10.08'}
228	набор инструмента рис слесарный	{'10.01'}
229	набор инструмента спутник	{'10.01'}
230	набор инструмента спутник	{'10.01'}
231	набор сверл	{'10.01', '10.09', '10.06', '10.12', '10.08'}
232	изготовление козырька	{'10.01'}
233	изготовление турникета	{'10.01'}
234	индикатор напряжения пин	{'10.01'}
235	ерш туалета	{'10.06', '10.01'}
236	проволока	{'10.01', '10.05', '10.09', '10.02', '10.12', '10.08'}
237	комплектующие компьютеру	{'10.01'}
238	клавиатура	{'10.01', '10.09', '10.02', '10.10', '10.06'}
239	мышь оптическая	{'10.09', '10.01'}
240	мини канал	{'10.01'}
241	блок питания	{'10.01', '10.05', '10.09', '10.02', '10.06'}
242	блок питания	{'10.01', '10.05', '10.09', '10.02', '10.06'}
243	блок питания	{'10.01', '10.05', '10.09', '10.02', '10.06'}
244	жесткий диск sff sata	{'10.01'}
245	устройство охлаждения кулер универсальный	{'10.09', '10.01'}
246	коммутатор link	{'10.09', '10.01'}
247	вентилятор cpu cooler	{'10.01'}
248	картридж clt цветн	{'10.01'}
249	картридж clt черн	{'10.01'}
250	samsung clt пурпурн	{'10.01'}
251	samsung желтый	{'10.01'}
252	картридж	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
253	картридж	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
254	картридж	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
255	картридж сва	{'10.06', '10.01', '10.05'}
256	картридж	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
257	картридж черн	{'10.06', '10.01', '10.05'}
